country_code,country,year,GDP_per_capita_PPP,health_expenditure_pct_GDP,health_expenditure_per_capita_USD,physicians_per_1000,hospital_beds_per_1000,internet_users_pct,R_and_D_expenditure_pct_GDP,life_expectancy,total_population,cost_per_patient_USD,tech_readiness_index,log_GDP_per_capita,log_cost_per_patient,log_health_expenditure
DZA,Algeria,2016,15511.6858768094,6.00080872,265.53491211,1.819,,42.94549942,0.47865,75.31,40850721.0,265.53491211,17.178199768,9.649348946382828,5.581746327743406,1.7935593018904157
DZA,Algeria,2017,15427.6641894713,5.9484539,270.93231201,1.7635,,47.69110107,0.47865,75.431,41689299.0,270.93231201,33.435940428,9.643917552787839,5.601869018500873,1.7848110346722723
DZA,Algeria,2018,15343.4261222434,5.9323926,271.53808594,1.708,,49.0384680793271,0.46185333333333334,75.555,42505035.0,271.53808594,19.615387231730843,9.638442395631522,5.604102409241053,1.7821118468873751
DZA,Algeria,2019,15199.1989965639,5.41732121,242.07049561,0.973,,55.79069901,0.44505666666666666,75.682,43294546.0,242.07049561,22.316279604,9.62899800785132,5.489228987909417,1.6914456807261145
DZA,Algeria,2020,14194.1557479619,5.63830757,211.07240295,1.202,,63.47269821,0.42826,73.257,44042091.0,211.07240295,25.389079284,9.560585591827454,5.352201216559462,1.7313559551530018
DZA,Algeria,2021,14496.8654697299,5.02188873,208.93911743,1.431,,72.21240234,0.41146333333333335,75.208,44761099.0,208.93911743,28.884960936,9.581687730538205,5.342042905364832,1.6157954066735276
DZA,Algeria,2022,14782.2002970247,3.63464284,180.33454895,1.66,,74.78150177,0.39466666666666667,76.129,45477389.0,180.33454895,29.912600708000003,9.601179053315587,5.194813731098351,1.2932583743770731
DZA,Algeria,2023,15159.3242373415,4.35082531,233.37947083,1.66,,76.19760132,0.37787,76.261,46164219.0,233.37947083,41.815140528,9.6263710828296,5.452665758957446,1.472661330732012
DZA,Algeria,2024,15501.9197003966,4.35082531,233.37947083,1.66,,77.4178009,0.44395,76.475,46814308.0,,44.28562036,9.648719146876847,,1.472661330732012
FRA,France,2016,50984.075297832,11.57036018,4289.34716797,3.2,,79.2698113207547,2.22468,82.5731707317073,66724104.0,4289.34716797,98.4483245283019,10.839268613884457,8.36388982504386,2.4493105752880844
FRA,France,2017,51895.5662985838,11.44944572,4436.63720703,3.217,,80.5024597243607,2.20422,82.5756097560976,66918020.0,4436.63720703,98.32758388974429,10.856988637731869,8.397651982660685,2.4388143436247502
FRA,France,2018,52560.9536243841,11.30847645,4692.99511719,3.214,,82.0431867788484,2.20407,82.6756097560976,67158348.0,4692.99511719,98.93937471153936,10.86972879653241,8.453826275348533,2.42643647449448
FRA,France,2019,53448.5548849943,11.17058277,4519.98583984,3.243,,83.3397440866883,2.19668,82.8268292682927,67382061.0,4519.98583984,99.23629763467532,10.886474879324254,8.416264140042609,2.4141785924865022
FRA,France,2020,49311.333409639,12.12949371,4760.08251953,3.252,,84.70639801,2.2742,82.1756097560976,67601110.0,4760.08251953,102.108559204,10.805909220216158,8.468020283110913,2.4964640804783436
FRA,France,2021,52517.3354905855,12.24894238,5364.89746094,3.264,,86.09548575,2.21278,82.3243902439024,67842811.0,5364.89746094,100.82159429999999,10.868898593896429,8.58763254228942,2.506255660881565
FRA,France,2022,53673.8137406422,11.82888794,4857.73388672,3.281,,85.33331734,2.21937,82.1292682926829,68184457.0,4857.73388672,100.714426936,10.890680521722919,8.488327329700263,2.4713897010582393
FRA,France,2023,54296.7230897731,11.51974583,5149.0546875,3.281,,86.83635789,2.17832,82.8317073170732,68372286.0,5149.0546875,100.084143156,10.902219155846359,8.546568420984107,2.4449302898055527
FRA,France,2024,54799.3482689389,11.53530598,5327.43359375,3.281,,88.65381638,2.17832,82.9804878048781,68551653.0,5327.43359375,35.461526552,10.91143357996281,8.58062489908983,2.4462789457034133
TUR,Turkey,2016,26489.6436816046,4.28469229,456.3659668,1.774,,58.3477340145685,1.11979,76.595,79277962.0,456.3659668,56.932793605827406,10.184509131122596,6.123295046408231,1.4573799090978532
TUR,Turkey,2017,28194.688309381,4.17974997,432.13754272,1.805,,64.6846176835371,1.17632,77.037,80312698.0,432.13754272,61.163447073414844,10.246888881361274,6.068743923495993,1.4326410591225138
TUR,Turkey,2018,28780.3036458151,4.12101603,380.27835083,1.814,,71.0427608433809,1.27093,77.454,81407204.0,380.27835083,66.54500433735237,10.267446530969965,5.940903486755856,1.4185233888234627
TUR,Turkey,2019,28741.0535082701,4.35954332,388.67486572,1.884,,73.9767022871511,1.3196,77.737,82579440.0,388.67486572,69.17868091486045,10.266081815477191,5.962743173354301,1.4746585002141404
TUR,Turkey,2020,28976.7179161611,4.61640215,386.2593689,1.989,,77.6695605,1.36748,76.525,83384680.0,386.2593689,72.0922242,10.27424795605043,5.956509083969562,1.531779492585955
TUR,Turkey,2021,32105.5474400506,4.56065559,431.33978271,2.118,,81.40843745,1.40209,75.722,84147318.0,431.33978271,74.62607498,10.37678411163395,6.06689613846797,1.5196566497596402
TUR,Turkey,2022,33520.8111384208,3.70338893,385.87997437,2.236,,83.43716576,1.32342,77.591,84979913.0,385.87997437,73.07746630400001,10.419921752943475,5.955526373882738,1.3119449178912983
TUR,Turkey,2023,35069.1701714685,4.27524424,547.8145752,2.236,,85.96074155,1.42224,77.156,85325965.0,547.8145752,77.05149662,10.465077680791783,6.305936863265823,1.4551775492585102
TUR,Turkey,2024,36154.490436557,4.27524424,547.8145752,2.236,,87.3078767,1.42224,77.421,85518661.0,,34.92315068,10.495556436651539,,1.4551775492585102
